election,state,year,stage,pollster,N,methodology,days_until,538grade,dem_polled,rep_polled,undecided_polled,dem_actual,rep_actual,dem_diff,rep_diff
president,Florida,2004,general,Insdr Adv ,511,Unknown,2,Unknown,48.0,48.0,4.0,47.4745438,52.5254562,2.5254562000000007,-2.5254562000000007
president,Florida,2004,general,CNN/USAT/Gallup ,139,Unknown,3,Unknown,50.0,47.0,3.0,47.4745438,52.5254562,4.025456200000001,-4.025456200000001
president,Florida,2004,general,Mason-Dixon ,724,Unknown,4,Unknown,45.0,49.0,6.0,47.4745438,52.5254562,0.5254562000000007,-0.5254562000000007
president,Florida,2004,general,Fla Poll/NYT Rgnl ,897,Unknown,6,Unknown,48.0,47.0,5.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,6,Unknown,46.0,50.0,4.0,47.4745438,52.5254562,0.5254562000000007,-0.5254562000000007
president,Florida,2004,general,Rasmussen ,600,Unknown,6,Unknown,45.0,50.0,5.0,47.4745438,52.5254562,0.025456200000000706,-0.025456200000000706
president,Florida,2004,general,Quinnipiac ,1017,Unknown,7,Unknown,46.0,49.0,5.0,47.4745438,52.5254562,1.0254562000000007,-1.0254562000000007
president,Florida,2004,general,Rasmussen ,666,Unknown,7,Unknown,48.0,48.0,4.0,47.4745438,52.5254562,2.5254562000000007,-2.5254562000000007
president,Florida,2004,general,LA Times ,610,Unknown,7,Unknown,43.0,51.0,6.0,47.4745438,52.5254562,-1.4745437999999993,1.4745437999999993
president,Florida,2004,general,ARG ,699,Unknown,8,Unknown,49.0,46.0,5.0,47.4745438,52.5254562,4.025456200000001,-4.025456200000001
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,9,Unknown,47.0,49.0,4.0,47.4745438,52.5254562,1.5254562000000007,-1.5254562000000007
president,Florida,2004,general,Survey USA ,846,Unknown,9,Unknown,50.0,48.0,2.0,47.4745438,52.5254562,3.5254562000000007,-3.5254562000000007
president,Florida,2004,general,CNN/USAT/Gallup ,700,Unknown,9,Unknown,43.0,51.0,6.0,47.4745438,52.5254562,-1.4745437999999993,1.4745437999999993
president,Florida,2004,general,SPT/Miami Herald,895,Unknown,12,Unknown,46.0,46.0,8.0,47.4745438,52.5254562,2.5254562000000007,-2.5254562000000007
president,Florida,2004,general,Research 2000 ,699,Unknown,12,Unknown,48.0,47.0,5.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,13,Unknown,46.0,49.0,5.0,47.4745438,52.5254562,1.0254562000000007,-1.0254562000000007
president,Florida,2004,general,Quinnipiac ,903,Unknown,14,Unknown,47.0,48.0,5.0,47.4745438,52.5254562,2.0254562000000007,-2.0254562000000007
president,Florida,2004,general,Mason-Dixon ,724,Unknown,16,Unknown,45.0,48.0,7.0,47.4745438,52.5254562,1.0254562000000007,-1.0254562000000007
president,Florida,2004,general,SurveyUSA ,700,Unknown,16,Unknown,50.0,49.0,1.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,Univ of North Fl ,740,Unknown,18,Unknown,45.0,44.0,11.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,19,Unknown,45.0,49.0,6.0,47.4745438,52.5254562,0.5254562000000007,-0.5254562000000007
president,Florida,2004,general,Rasmussen ,783,Unknown,19,Unknown,46.0,49.0,5.0,47.4745438,52.5254562,1.0254562000000007,-1.0254562000000007
president,Florida,2004,general,Wash Post ,754,Unknown,23,Unknown,48.0,48.0,4.0,47.4745438,52.5254562,2.5254562000000007,-2.5254562000000007
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,27,Unknown,44.0,49.0,7.0,47.4745438,52.5254562,0.025456200000000706,-0.025456200000000706
president,Florida,2004,general,Quinnipiac ,814,Unknown,28,Unknown,44.0,51.0,5.0,47.4745438,52.5254562,-0.9745437999999993,0.9745437999999993
president,Florida,2004,general,Mason-Dixon ,724,Unknown,28,Unknown,44.0,48.0,8.0,47.4745438,52.5254562,0.5254562000000007,-0.5254562000000007
president,Florida,2004,general,ARG ,699,Unknown,28,Unknown,49.0,47.0,4.0,47.4745438,52.5254562,3.5254562000000007,-3.5254562000000007
president,Florida,2004,general,HB&S (D) ,895,Unknown,29,Unknown,49.0,47.0,4.0,47.4745438,52.5254562,3.5254562000000007,-3.5254562000000007
president,Florida,2004,general,SUSA ,810,Unknown,30,Unknown,46.0,51.0,3.0,47.4745438,52.5254562,0.025456200000000706,-0.025456200000000706
president,Florida,2004,general,Rasmussen ,878,Unknown,31,Unknown,47.0,51.0,2.0,47.4745438,52.5254562,0.5254562000000007,-0.5254562000000007
president,Florida,2004,general,Gallup ,803,Unknown,36,Unknown,43.0,52.0,5.0,47.4745438,52.5254562,-1.9745437999999993,1.9745437999999993
president,Florida,2004,general,Gallup ,773,Unknown,41,Unknown,46.0,49.0,5.0,47.4745438,52.5254562,1.0254562000000007,-1.0254562000000007
president,Florida,2004,general,ARG ,699,Unknown,43,Unknown,46.0,45.0,9.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,SUSA ,706,Unknown,49,Unknown,45.0,51.0,4.0,47.4745438,52.5254562,-0.4745437999999993,0.4745437999999993
president,Florida,2004,general,Zogby/WSJ** ,393,Unknown,60,Unknown,49.4,49.1,1.5,47.4745438,52.5254562,2.6754561999999993,-2.6754561999999993
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,65,Unknown,44.0,48.0,8.0,47.4745438,52.5254562,0.5254562000000007,-0.5254562000000007
president,Florida,2004,general,Research 2000 ,699,Unknown,67,Unknown,46.0,46.0,8.0,47.4745438,52.5254562,2.5254562000000007,-2.5254562000000007
president,Florida,2004,general,Miami Herald ,895,Unknown,69,Unknown,46.0,48.0,6.0,47.4745438,52.5254562,1.5254562000000007,-1.5254562000000007
president,Florida,2004,general,Rasmussen ,600,Unknown,70,Unknown,47.0,49.0,4.0,47.4745438,52.5254562,1.5254562000000007,-1.5254562000000007
president,Florida,2004,general,CNN/USAT/Gallup ,770,Unknown,72,Unknown,46.0,48.0,6.0,47.4745438,52.5254562,1.5254562000000007,-1.5254562000000007
president,Florida,2004,general,Zogby Interactive ,19,Unknown,73,Unknown,49.6,49.0,1.3999999999999986,47.4745438,52.5254562,2.825456199999998,-2.825456199999998
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,75,Unknown,47.0,46.0,7.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,ARG ,699,Unknown,89,Unknown,50.0,43.0,7.0,47.4745438,52.5254562,6.025456200000001,-6.025456200000001
president,Florida,2004,general,Strategic Vision (R) ,896,Unknown,90,Unknown,47.0,48.0,5.0,47.4745438,52.5254562,2.0254562000000007,-2.0254562000000007
president,Florida,2004,general,Zogby Interactive ,25,Unknown,95,Unknown,49.5,46.7,3.799999999999997,47.4745438,52.5254562,3.9254561999999993,-3.9254561999999993
president,Florida,2004,general,CNN/USAT/Gallup ,798,Unknown,103,Unknown,47.0,50.0,3.0,47.4745438,52.5254562,1.0254562000000007,-1.0254562000000007
president,Florida,2004,general,Mason-Dixon ,724,Unknown,104,Unknown,46.0,48.0,6.0,47.4745438,52.5254562,1.5254562000000007,-1.5254562000000007
president,Florida,2004,general,Research 2000 ,699,Unknown,106,Unknown,47.0,44.0,9.0,47.4745438,52.5254562,4.025456200000001,-4.025456200000001
president,Florida,2004,general,ARG ,699,Unknown,110,Unknown,47.0,44.0,9.0,47.4745438,52.5254562,4.025456200000001,-4.025456200000001
president,Florida,2004,general,SUSA ,829,Unknown,114,Unknown,47.0,44.0,9.0,47.4745438,52.5254562,4.025456200000001,-4.025456200000001
president,Florida,2004,general,ARG ,699,Unknown,132,Unknown,47.0,46.0,7.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,SUSA ,820,Unknown,141,Unknown,43.0,50.0,7.0,47.4745438,52.5254562,-0.9745437999999993,0.9745437999999993
president,Florida,2004,general,ARG ,699,Unknown,167,Unknown,46.0,47.0,7.0,47.4745438,52.5254562,2.0254562000000007,-2.0254562000000007
president,Florida,2004,general,Hamilton Beattie (D) ,1,Unknown,177,Unknown,48.0,46.0,6.0,47.4745438,52.5254562,3.5254562000000007,-3.5254562000000007
president,Florida,2004,general,ARG ,699,Unknown,192,Unknown,45.0,46.0,9.0,47.4745438,52.5254562,2.0254562000000007,-2.0254562000000007
president,Florida,2004,general,Rasmusssen ,600,Unknown,203,Unknown,47.0,46.0,7.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Florida,2004,general,Rasmusssen ,511,Unknown,234,Unknown,48.0,45.0,7.0,47.4745438,52.5254562,4.025456200000001,-4.025456200000001
president,Florida,2004,general,ARG ,699,Unknown,243,Unknown,45.0,44.0,11.0,47.4745438,52.5254562,3.0254562000000007,-3.0254562000000007
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,2,Unknown,41.0,55.0,4.0,41.64485605,58.35514395,1.3551439499999987,-1.3551439499999987
president,Georgia,2004,general,SurveyUSA ,727,Unknown,3,Unknown,43.0,55.0,2.0,41.64485605,58.35514395,2.3551439499999987,-2.3551439499999987
president,Georgia,2004,general,Zogby/AJC ,601,Unknown,4,Unknown,42.0,52.0,6.0,41.64485605,58.35514395,3.3551439499999987,-3.3551439499999987
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,7,Unknown,40.0,57.0,3.0,41.64485605,58.35514395,-0.14485605000000135,0.14485605000000135
president,Georgia,2004,general,SurveyUSA ,708,Unknown,13,Unknown,40.0,57.0,3.0,41.64485605,58.35514395,-0.14485605000000135,0.14485605000000135
president,Georgia,2004,general,Zogby/AJC ,603,Unknown,18,Unknown,41.0,51.0,8.0,41.64485605,58.35514395,3.3551439499999987,-3.3551439499999987
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,19,Unknown,37.0,58.0,5.0,41.64485605,58.35514395,-2.1448560500000013,2.1448560500000013
president,Georgia,2004,general,Zogby/AJC ,601,Unknown,25,Unknown,39.0,54.0,7.0,41.64485605,58.35514395,0.8551439499999987,-0.8551439499999987
president,Georgia,2004,general,SurveyUSA ,693,Unknown,26,Unknown,39.0,58.0,3.0,41.64485605,58.35514395,-1.1448560500000013,1.1448560500000013
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,36,Unknown,33.0,58.0,9.0,41.64485605,58.35514395,-4.144856050000001,4.144856050000001
president,Georgia,2004,general,SUSA ,757,Unknown,48,Unknown,38.0,58.0,4.0,41.64485605,58.35514395,-1.6448560500000013,1.6448560500000013
president,Georgia,2004,general,ARG ,699,Unknown,50,Unknown,42.0,53.0,5.0,41.64485605,58.35514395,2.8551439499999987,-2.8551439499999987
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,50,Unknown,35.0,58.0,7.0,41.64485605,58.35514395,-3.1448560500000013,3.1448560500000013
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,65,Unknown,36.0,55.0,9.0,41.64485605,58.35514395,-1.1448560500000013,1.1448560500000013
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,77,Unknown,38.0,54.0,8.0,41.64485605,58.35514395,0.35514394999999865,-0.35514394999999865
president,Georgia,2004,general,Strategic Vision (R) ,896,Unknown,92,Unknown,41.0,52.0,7.0,41.64485605,58.35514395,2.8551439499999987,-2.8551439499999987
president,Hawaii,2004,general,SMS Research ,711,Unknown,13,Unknown,45.0,46.0,9.0,54.40717236,45.59282764,-4.907172359999997,4.907172359999997
president,Hawaii,2004,general,Honolulu Advertiser,699,Unknown,15,Unknown,42.6,43.3,14.100000000000001,54.40717236,45.59282764,-4.757172359999991,4.757172359999991
