sponsor_list,MAAPE
Daily Herald,46.7
Washington Post,47
FM3 Research,47
Star Ledger,47.2
Paul Simon Public Policy Institute,47.5
Gannett,48.1
Magellan Strategies,48.2
WPRI,48.2
WPAi,48.2
University of Nevada Las Vegas,48.2
Columbus Dispatch,48.4
Quad City Times,48.4
Montana State University,48.5
News 8 NOW Las Vegas,48.5
Mike Downs Center for Indiana Politics Purdue University,48.6
Gainesville Sun,48.8
Orlando Sentinel,48.8
Muhlenberg College,49.1
KFI/NBC 4,49.2
Salt Lake Tribune,49.4
Rutgers University Eagleton,49.5
KAET,49.8
University of Mary Washington,50.1
Research 2000,50.3
WFAA,50.7
Aloha Vote,50.7
Wilson Research,51.1
Fox 5 Atlanta,51.2
Detroit News,51.2
Lambert Edwards Associates/Denno Research,51.2
Ohio Newspapers,51.2
Des Moines Register/Bloomberg News,51.3
Selzer Company,51.3
Theing Company,51.6
Opinion Research Corporation,51.6
Greenberg Quinlan Rosner,51.6
Sooner Poll,51.8
Mitchell Research Communications,52.1
SurveyUSA,52.2
University of Denver,52.4
EPIC MRA,52.5
University of Southern Alabama,52.7
Golden State Poll,52.8
Vanguard Public Affairs/Denno Research,52.8
Honolulu Civil Beat,52.9
CBS News/New York Times,53.1
Charleston Daily Mail,53.1
Elway Poll,53.5
St Petersburg Times,53.5
CBS 11,53.6
Albuquerque Journal,53.7
Landmark Communication,53.9
Tampa Tribune,54
Howey Politics Indiana,54.1
Indianapolis Star,54.1
Rocky Mountain News,54.1
Bluegrass Poll Lexington Herald Leader/Courier Journal/WKYT TV/WHAS TV,54.2
WCAX,54.3
Hamilton Campaigns,54.3
Neighborhood Research,54.4
Dakota Wesleyan University,54.9
Cincinnati Enquirer/Ohio News,55.4
Mark Blankenship Enterprises,55.4
Keating Research,55.5
Strategic Vision,55.8
Team TelCom,55.9
Rocky Mountain News/CBS 4,56
Alaska Survey Research,56.3
Times Leader,56.4
Cooper Secrest Associates,56.4
Reno Gazette Journal,56.6
Cook Political Report,56.7
University of Wisconsin,56.9
Mason Dixon,57.1
WHYY,57.1
Economist,57.2
Utah Policy,57.3
MPR News,57.3
Riley Research,57.4
KOBT,57.5
Reason,57.5
Glengariff Group,57.8
Virginia Commonwealth University,58
KSTP,58.5
Rasmussen,58.6
University of Houston,58.8
Bangor Daily News,58.8
East Tennessee State University,58.9
Morning Call,59
Maine Peoples Resource Center,59.1
Ayres McHenry,59.1
Vanderbilt University,59.3
InsiderAdvantage,59.4
Telemundo 51,59.8
Foster McCollum White Associates/Baydoun Consulting,59.9
Los Angeles Times/Bloomberg News,59.9
University of Cincinnati,60
Public Policy Polling,60.4
KRC Communications Research,60.4
New England College,60.7
Michigan Information Research Service,60.7
We Ask America,61
American Action Forum,61.1
Loras College,61.3
Tribune Review,61.4
News 7,61.6
Los Angeles Times/KTLA,61.6
Investors Business Daily,61.9
WWBT,61.9
KELOLAND Media Group,62
Wall Street Journal/Washington Post,62
Keystone Poll,62
Zogby Analytics,62.2
Y2 Analytics,62.5
Emerson College Poll,62.6
YouGov,62.7
University of Akron,62.7
Fleming Associates,62.8
Suffolk University,62.9
Brown University,62.9
Wenzel Strategies,62.9
Harper Polling,63
Billings Gazette,63
University of Connecticut,63
JMC Analytics,63.2
Oregon Public Broadcasting,63.3
Mass Insight Survey Research Group,63.3
Omaha World Herald,63.4
The Hill,63.5
WSVN,63.7
The Battleground Poll,63.7
University of New Hampshire,63.8
Virginian Pilot,63.9
Gonzales Research/Arscott Research Communications,63.9
Strategic Marketing Services,64
St Louis Post Dispatch,64.1
Courier Journal,64.1
WAFB/Fox 8/Raycom,64.2
WTHR/Howey Politics Indiana,64.3
Behavior Research Center,64.3
Tennessean,64.4
NBC 5,64.4
GW Battleground Poll,64.5
Target Insyght,64.8
Fabrizio Lee Associates,64.8
Denver Post,64.9
Grinnell College,65.1
Quinnipiac University,65.2
TEGNA Inc,65.3
Bernard Rappaport,65.3
National Journal,65.4
Nevada Independent,65.5
Franklin Pierce College,65.5
CT Capitol Report,65.8
University of Delaware,65.9
Associated Press,66.1
Honolulu Star Advertiser/News 8,66.4
News 13,66.6
Newsday,66.6
Rocky Mountain PBS,67
Remington Research,67.2
Opinion Savvy,67.3
Daily Kos,67.3
Time,67.4
American Research Group,67.8
Feldman Group,67.8
Rossman Group,68
Portland Press Herald,68.3
Americans for Prosperity,68.3
Arizona Republic,68.9
Big Ten Battleground Poll,68.9
CNN/Time,69.1
Democratic Senatorial Campaign Committee,69.1
Dixie Strategies,69.2
Times Dispatch,69.4
Secure America Now,69.5
Moore Information Group,69.6
National Public Radio,69.8
Southeastern Louisiana University,69.8
Greg Smith Associates,69.8
Issues Pennsylvania,69.8
Chicago Sun Times,69.9
Sunshine State News,70
SMS,70.1
Impact Management Group,70.2
Blum Weprin Associates,70.3
Monmouth University,70.4
USA Today,70.5
Star Tribune,70.5
OH Predictive Insights,70.6
St Cloud State University,70.9
Politico/GW Battleground Poll,71.4
Christopher Newport University,71.5
Chicago Tribune,71.6
Retail Association of Nevada,71.9
Bennett Petts Normington,72.2
CNN,72.4
WSB TV,72.4
Pew Research,72.9
Post Dispatch,73.4
Boston Globe,73.5
McClatchy,73.6
Consumer Energy Alliance,73.6
Los Angeles Times,73.8
Hearst Media Group,73.9
Franklin Marshall College,74.3
Miami Herald/St Petersburg Times,74.3
WISHTV,74.4
Garin Hart Yang,74.4
Washington Times,74.5
TexasWatch Foundation,74.5
Democracy Corps,74.7
Detroit News/WDIV,74.8
New York Times/Kaiser Family Foundation,74.8
Michigan Information Research Service/Governmental Consultant Services Inc,74.9
Reuters,75.1
Gallup,75.2
St Paul Pioneer Press,75.2
Purple Strategies,75.4
OnPoint,75.4
Ivan Moore Research,75.5
NBC News,75.6
Fox News,75.7
Marketing Resource Group,76.1
Public Opinion Strategies,76.1
University of Iowa,76.3
Clout Research,76.3
TCPalm,76.3
Merrill Research International,76.5
New York Times,76.6
WBUR,76.6
Rhode Island College,76.7
Boston Herald,76.9
Indiana Legislative Insight,77.3
Forum Communications Company,77.6
Missouri Scout,77.7
Las Vegas Review Journal,77.7
NBC News/Wall Street Journal,78.4
Sun Times,78.4
VC Research,78.4
Inside Michigan Politcs,78.5
Charlotte Observer,78.5
RNN,78.5
Press Gazette,78.5
CRG Research,78.5
Sayfie Review/InsiderAdvantage,78.5
Honolulu Star Advertiser/KITV 4 News,78.5
Plain Dealer,79
WOIO,79.1
WRBL/Ledger Enquirer/PMB Broadcasting,79.3
KSNV,79.7
Daily Caller,80.2
Gravis Marketing,80.3
CN2 News,80.6
NBC 4 NY/Wall Street Journal,80.8
Tampa Bay Times,80.8
Deseret News/KSL TV,80.9
American Future Fund,81
University of Minnesota,81
Trafalgar Group,81.4
WGBH,81.4
Stockton University,81.5
Ohio Newspaper,81.9
Goodwin Simon,82
WNBC,82.1
Mercyhurst University,82.4
MetroNews,82.5
Westhill Consulting,82.5
ABC News/Washington Post,82.9
RT Strategies/Constituent Dynamics,83
Vox Populi Polling,83.1
Politico/InsiderAdvantage,83.1
Susquehanna Polling Research,83.5
McLaughlin Associates,83.5
High Point University,83.6
Hampton University,83.7
NBC 10,83.8
Myers Research Strategic Services,84.2
Abacus Data Polling,84.2
Wall Street Journal,84.2
Miami Herald,84.2
Mellman Group,84.5
CBS News,85
Portland Tribune,85.8
Mass Insight Survey Research Group/Opinion Dynamics,86.2
WSOC,86.4
National Public Radio/Democracy Corps/Resurgent Republic,86.6
Mercury Public Affairs,86.9
Independent Womens Voice,87
Detroit Free Press,87.1
Denver Post/9 News,87.8
Tarrance Group,87.9
New York Times/Kaiser,88
Benenson Strategy,88
WMUR,88.2
Marquette University,89
Fox 13,89.4
KTNV,90.3
The Harris Poll,90.3
Florida Chamber of Commerce,90.4
Ohio Right to Life,90.4
South Carolina Educational Television,91.7
University of North Carolina Ashville,91.7
Civitas Institute,92
Victory Enterprises,92.2
Wisconsin Public Radio,92.6
Roanoke College,93.1
North Dakota United Tranportation Union,93.1
Anzalone Liszt Grove Research,93.4
Sun Sentinel,93.6
Bloomberg News,93.8
WBZ,93.9
WRAL,94.1
ABC 15,94.4
Grove Insight,94.9
CNBC,95.2
University of Massachusetts,95.3
NECN,95.3
Tampa Bay Times/News 9/News 13,95.6
Global Strategy Group,95.7
Atlanta Journal Constitution/WSB TV,96.2
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,96.6
Opinion Analysts,96.6
Momentum Analysis,96.9
Lake Research,97.2
Oregon State University,97.5
Elon University,97.9
Dartmouth College,98.1
Clemson University,98.3
HarrisX,98.8
Cromer Associates,99.3
Christian Science Monitor/Investors Business Daily,100.2
Resurgent Republic,100.9
University of Tennessee,101
Harstead Strategy,101.1
KY3,101.1
Penn Schoen Berland,101.2
Consumer Logic Research,101.3
KTUU,102.6
San Diego Union Tribune,102.8
Sacred Heart University,103.8
Newsweek,103.9
Associated Industries of Florida,104.2
Hart Research,104.7
American Conservative Union,104.9
Wirthlin Worldwide,105.5
Becker Institue,105.6
University of North Florida,105.9
Minnesota Public Radio,106.9
Fox 2 Detroit,107.4
St Pete Poll,107.7
Infomark Research,107.7
Bay News 9,110.3
HHI,111.3
Kitchens Group Research,112.1
WNDS,113.3
CNN/USA Today,113.5
Lake Snell Perry,113.9
Thomas Partner Strategies,114
KGWTV,114.3
American Viewpoint,114.4
WSAZ,115.4
Free Press,117.4
Central Surveys,118
WFB,118.3
Florida Atlantic University,118.8
The Atlantic,120.8
ABC News,123
Scripps Company,123.9
Hamilton Beattie Staff,124.7
ABC 30,125.7
Reuters/MSNBC,126.5
Social Science Research Solutions,127
Minneapolis Star,127.4
Creators Syndicate,129.2
Florida Times Union/InsiderAdvantage,129.3
Granite State Poll,129.9
Badger Poll,130.8
FireDogLake Blog Poll,132.6
Voter Consumer Research,135.5
Emilys List,137.3
StrategyOne,137.3
National Public Radio/Kaiser Family Foundation/Kennedy School of Government,137.3
Hotline Bullseye Poll,137.4
WCTV,138
Tarrance Group/Lake Snell Perry Associates,138.9
American Insights,142.7
Aspen Times,142.9
Handgun Control Poll,142.9
Washington Post/Kaiser Family Foundation,148.6
Fabrizio Lee Associates/McLaughlin Associates,149.9
American Federation for Children,151.6
USA Polling Group,151.8
Minnesota Star Tribune,152
Fox Business,152.3
Red Racing Hourse Elections,152.3
WHEC,152.6
CNN/WMUR,153.6
KUTV,154.1
University of Alabama Birmingham,154.5
